Suburb,City,Price,SQFT,Price_per_sqft,Bedrooms,Bathrooms,Zip Code,House Type,Built,Remodeled,Country,Condition
Downtown Dubai,Dubai,"$2,200,000.00 ",1891,"$1,163.41 ",3,4,25314,Apartment,2013,0,U.A.E,5
Dubai Hills Estate,Dubai,"$1,100,000.00 ",1087,"$1,011.96 ",2,2,25315,Apartment,2015,0,U.A.E,4
Dubai Hills Estate,Dubai,"$700,000.00 ",646,"$1,083.59 ",1,1,25314,Apartment,2015,0,U.A.E,5
Dubai Sports City,Dubai,"$700,000.00 ",883,$792.75 ,2,2,25315,Apartment,2018,0,U.A.E,5
City Walk,Dubai,"$3,680,000.00 ",2574,"$1,429.68 ",3,5,25315,Apartment,2014,0,U.A.E,4
Downtown Dubai,Dubai,"$10,000,000.00 ",3399,"$2,942.04 ",4,5,25314,Apartment,2017,0,U.A.E,4
Downtown Dubai,Dubai,"$2,200,000.00 ",1447,"$1,520.39 ",2,2,25315,Apartment,2022,0,U.A.E,4
Old Town,Dubai,"$1,820,000.00 ",1185,"$1,535.86 ",1,2,25314,Apartment,2016,0,U.A.E,4
Palm Jumeirah,Dubai,"$655,888.00 ",380,"$1,726.02 ",0,1,25315,Apartment,2012,0,U.A.E,5
Dubai Hills Estate,Dubai,"$2,300,000.00 ",1953,"$1,177.68 ",3,5,25315,Apartment,2023,0,U.A.E,4
City Walk,Dubai,"$3,200,000.00 ",1830,"$1,748.63 ",2,4,25314,Apartment,2005,0,U.A.E,5
Dubai Marina,Dubai,"$2,175,000.00 ",1385,"$1,570.40 ",2,3,25314,Apartment,2011,0,U.A.E,5
Jumeirah Village Circle,Dubai,"$700,000.00 ",846,$827.42 ,1,1,25314,Apartment,2016,0,U.A.E,4
Dubai Marina,Dubai,"$850,000.00 ",759,"$1,119.89 ",2,2,25315,Apartment,2008,0,U.A.E,5
Dubai Hills Estate,Dubai,"$1,066,888.00 ",718,"$1,485.92 ",1,1,25314,Apartment,2016,0,U.A.E,5
Palm Jumeirah,Dubai,"$2,500,000.00 ",1356,"$1,843.66 ",2,3,25315,Apartment,2019,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$1,502,000.00 ",1460,"$1,028.77 ",3,3,25314,Apartment,2017,0,U.A.E,4
Dubai Silicon Oasis,Dubai,"$860,000.00 ",1800,$477.78 ,2,3,25314,Apartment,2008,0,U.A.E,5
Downtown Dubai,Dubai,"$1,000,000.00 ",915,"$1,092.90 ",1,1,25314,Apartment,2008,0,U.A.E,5
Dubai Marina,Dubai,"$850,000.00 ",545,"$1,559.63 ",0,2,25315,Apartment,2023,0,U.A.E,4
Downtown Dubai,Dubai,"$3,400,000.00 ",1566,"$2,171.14 ",2,3,25315,Apartment,2012,0,U.A.E,4
Downtown Dubai,Dubai,"$5,500,000.00 ",2310,"$2,380.95 ",3,4,25314,Apartment,2016,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$813,000.00 ",935,$869.52 ,2,2,25315,Apartment,2013,0,U.A.E,5
City Walk,Dubai,"$3,399,000.00 ",2084,"$1,631.00 ",3,4,25315,Apartment,2011,0,U.A.E,4
Dubai Marina,Dubai,"$1,589,950.00 ",1302,"$1,221.16 ",2,3,25314,Apartment,2009,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$10,560,000.00 ",3638,"$2,902.69 ",4,3,25314,Apartment,2014,0,U.A.E,4
Dubai Sports City,Dubai,"$390,000.00 ",849,$459.36 ,1,2,25315,Apartment,2011,0,U.A.E,4
The Views,Dubai,"$1,650,000.00 ",1458,"$1,131.69 ",2,2,25315,Apartment,2021,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$1,200,000.00 ",1262,$950.87 ,2,2,25314,Apartment,2021,0,U.A.E,5
Palm Jumeirah,Dubai,"$5,400,000.00 ",4526,"$1,193.11 ",4,5,25315,Apartment,2021,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$14,800,000.00 ",5018,"$2,949.38 ",5,5,25314,Apartment,2023,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,700,000.00 ",1509,"$1,126.57 ",1,1,25315,Apartment,2018,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$810,000.00 ",779,"$1,039.79 ",1,2,25314,Apartment,2013,0,U.A.E,5
Downtown Dubai,Dubai,"$2,350,000.00 ",1391,"$1,689.43 ",2,3,25315,Apartment,2018,0,U.A.E,5
Downtown Dubai,Dubai,"$3,000,000.00 ",796,"$3,768.84 ",1,2,25315,Apartment,2015,0,U.A.E,4
Jumeirah Lake Towers,Dubai,"$920,000.00 ",1315,$699.62 ,3,2,25315,Apartment,2005,0,U.A.E,5
Palm Jumeirah,Dubai,"$2,000,000.00 ",1040,"$1,923.08 ",1,2,25315,Apartment,2008,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,325,000.00 ",1144,"$1,158.22 ",1,1,25315,Apartment,2010,0,U.A.E,5
Downtown Dubai,Dubai,"$2,850,000.00 ",1244,"$2,291.00 ",2,2,25314,Apartment,2009,0,U.A.E,5
Downtown Dubai,Dubai,"$1,650,000.00 ",792,"$2,083.33 ",1,2,25314,Apartment,2021,0,U.A.E,4
Dubai Sports City,Dubai,"$410,000.00 ",969,$423.12 ,1,2,25315,Apartment,2007,0,U.A.E,5
Umm Suqeim,Dubai,"$3,700,000.00 ",1860,"$1,989.25 ",3,4,25314,Apartment,2009,0,U.A.E,5
Jumeirah Village Circle,Dubai,"$670,000.00 ",726,$922.87 ,1,2,25315,Apartment,2022,0,U.A.E,4
Downtown Dubai,Dubai,"$1,100,000.00 ",1182,$930.63 ,1,2,25314,Apartment,2013,0,U.A.E,4
Greens,Dubai,"$620,000.00 ",767,$808.34 ,1,1,25314,Apartment,2021,0,U.A.E,4
Business Bay,Dubai,"$2,000,000.00 ",1414,"$1,414.43 ",3,3,25314,Apartment,2012,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$662,000.00 ",634,"$1,044.16 ",1,2,25314,Apartment,2009,0,U.A.E,5
